iShares Core S&P/TSX Capped Composite Index ETF
Inception Date,"Feb 16, 2001"
Fund Holdings as of,"30-Jun-2016"
Total Net Assets ($000s),"$2,425,040,039"
Shares Outstanding,"108,900,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,CUSIP,Exchange,Country of Risk,Currency,Market Currency,FX Rate
"GEI","GIBSON ENERGY INC.","0.12","14.99","190,282","$2,852,327","2,852,327.18","Energy","B44WH97","374825206","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"LNR","LINAMAR CORP.","0.12","46.02","61,388","$2,825,076","2,825,075.76","Consumer Discretionary","2516022","53278L107","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"AYA","AMAYA INC","0.12","19.82","142,210","$2,818,602","2,818,602.20","Consumer Discretionary","BT8J595","02314M108","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"SCL","SHAWCOR LTD","0.11","32.03","86,910","$2,783,727","2,783,727.30","Energy","B9M2YJ3","820439107","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"ERF","ENERPLUS CORP","0.11","8.51","323,666","$2,754,398","2,754,397.66","Energy","B584T89","292766102","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"RRX","RAGING RIVER EXPLORATION INC","0.11","10.28","267,812","$2,753,107","2,753,107.36","Energy","B7N9Y55","750649105","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"SJ","STELLA-JONES INC.","0.11","48.11","56,743","$2,729,906","2,729,905.73","Materials","2809777","85853F105","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"CWB","CANADIAN WESTERN BANK","0.11","24.65","110,170","$2,715,691","2,715,690.50","Financials","2188283","13677F101","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"PD","PRECISION DRILLING CORPORATION","0.11","6.85","394,163","$2,700,017","2,700,016.55","Energy","B5YPLH9","74022D308","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"SMF","SEMAFO INC.","0.11","6.20","435,073","$2,697,453","2,697,452.60","Materials","2795371","816922108","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
